"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","effort","income","cy","num-workers","final-demands","utility-exponents","industry","production-inputs","product","ql","output","xe","z","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c","ef","base-color","cq","ce","du","input-quantities","nature-quantities","labor-quantities","input-exponents","nature-exponents","labor-exponents","k","s","a","debug-a","debug-k","debug-c","debug-o","debug-s","debug-cdx-1","debug-cdx-2","debug-cdx-3","debug-price-1","debug-price-2","debug-price-3"
"37","45","24","-3.91089108910891","8.227738986945976","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.227738986945976","10","[0 0 0 0 0]","[0.126346473014052 0.15586506155751795 0.15623370798230682 0.20197042035646603]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38","45","289","-3.584158415841584","7.83922312527301","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.83922312527301","10","[0 0 0 0 0]","[0.24771957998905497 0.2366276516705591 0.21991859938684144 0.20639006992806147]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39","45","305","-3.2574257425742577","12.339015175568179","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","12.339015175568179","10","[0 0 0 0 0]","[0.19816990153908493 0.2461955635468077 0.1629848038027033 0.16421942274471613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40","45","216","-2.9306930693069297","6.597013561102367","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","6.597013561102367","10","[0 0 0 0 0]","[0.17126052493738697 0.20371468751553154 0.15127175132822104 0.2190944443684174]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41","45","292","-2.6039603960396036","10.401065651304336","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.401065651304336","10","[0 0 0 0 0]","[0.15045929065613534 0.13607703306496222 0.1457112047467681 0.18787456629771423]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","45","345","-2.2772277227722775","14.39335918020613","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","14.39335918020613","10","[0 0 0 0 0]","[0.21210227061866133 0.13325002087347732 0.2194328820486507 0.2192345228205776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","45","195","-1.9504950495049496","9.850313663574488","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","9.850313663574488","10","[0 0 0 0 0]","[0.17854779984141742 0.17023805540039705 0.1441673098529567 0.24214879059149302]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44","45","124","-1.6237623762376234","9.208173071486293","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","9.208173071486293","10","[0 0 0 0 0]","[0.13691347614816307 0.1429078750190032 0.2413766172518225 0.19707302660619896]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45","45","299","-1.2970297029702973","8.173402258792668","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.173402258792668","10","[0 0 0 0 0]","[0.12798551266154706 0.24571584995813717 0.17874598791142332 0.1682860642645575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46","45","313","-0.9702970297029694","8.610871687545677","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.610871687545677","10","[0 0 0 0 0]","[0.12616857307906562 0.19709449113250344 0.1639305275298742 0.18965844966254727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47","45","351","-0.6435643564356432","7.502564317566073","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.502564317566073","10","[0 0 0 0 0]","[0.12801270289262368 0.1815002019073468 0.22604234315219043 0.17104710712074417]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48","45","158","-0.3168316831683171","6.443738183434647","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","6.443738183434647","10","[0 0 0 0 0]","[0.1898577345987241 0.146534793115929 0.1745391600322183 0.1384206619640933]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49","45","93","0.009900990099009022","10.600273298210155","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.600273298210155","10","[0 0 0 0 0]","[0.19261897582472132 0.24492929082015708 0.2254951116774285 0.1290403838534071]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50","45","236","0.3366336633663387","10.037467640470766","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.037467640470766","10","[0 0 0 0 0]","[0.2379038877985112 0.23517856300054907 0.22661946853423187 0.2450284522738656]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","45","323","0.6633663366336648","14.970780834093315","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","14.970780834093315","10","[0 0 0 0 0]","[0.2271043890205106 0.19929657719282898 0.24699863289335894 0.23769532286398848]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
